label;geo_local_area;geom;geo_point_2d
38;Grandview-Woodland;"{""coordinates"": [-123.06471364187658, 49.28154965659176], ""type"": ""Point""}";49.28154965659176, -123.06471364187658
24;Grandview-Woodland;"{""coordinates"": [-123.0588440785022, 49.28424690335262], ""type"": ""Point""}";49.28424690335262, -123.0588440785022
4;Hastings-Sunrise;"{""coordinates"": [-123.05559873053149, 49.27169523942015], ""type"": ""Point""}";49.27169523942015, -123.05559873053149
10;Hastings-Sunrise;"{""coordinates"": [-123.05364422669898, 49.273582481724816], ""type"": ""Point""}";49.273582481724816, -123.05364422669898
2;Hastings-Sunrise;"{""coordinates"": [-123.04820628743421, 49.274421008100056], ""type"": ""Point""}";49.274421008100056, -123.04820628743421
2;Hastings-Sunrise;"{""coordinates"": [-123.05121902412345, 49.274434275121706], ""type"": ""Point""}";49.274434275121706, -123.05121902412345
T;Renfrew-Collingwood;"{""coordinates"": [-123.05429355562248, 49.25691942178234], ""type"": ""Point""}";49.25691942178234, -123.05429355562248
2;Renfrew-Collingwood;"{""coordinates"": [-123.04573598488155, 49.26129850492912], ""type"": ""Point""}";49.26129850492912, -123.04573598488155
7;Renfrew-Collingwood;"{""coordinates"": [-123.05386583780724, 49.25878674941455], ""type"": ""Point""}";49.25878674941455, -123.05386583780724
6;Renfrew-Collingwood;"{""coordinates"": [-123.05391018272167, 49.2594890748289], ""type"": ""Point""}";49.2594890748289, -123.05391018272167
3;Renfrew-Collingwood;"{""coordinates"": [-123.05390021212946, 49.260429537681574], ""type"": ""Point""}";49.260429537681574, -123.05390021212946
24;Hastings-Sunrise;"{""coordinates"": [-123.05544498407554, 49.26244455179453], ""type"": ""Point""}";49.26244455179453, -123.05544498407554
13;Hastings-Sunrise;"{""coordinates"": [-123.04583508464505, 49.26415391269018], ""type"": ""Point""}";49.26415391269018, -123.04583508464505
14;Hastings-Sunrise;"{""coordinates"": [-123.05352540947868, 49.26509588487926], ""type"": ""Point""}";49.26509588487926, -123.05352540947868
11;Hastings-Sunrise;"{""coordinates"": [-123.05345422867832, 49.26608001982726], ""type"": ""Point""}";49.26608001982726, -123.05345422867832
3;Renfrew-Collingwood;"{""coordinates"": [-123.05362983637357, 49.248231283259024], ""type"": ""Point""}";49.248231283259024, -123.05362983637357
1;Renfrew-Collingwood;"{""coordinates"": [-123.05522863316601, 49.24735403491156], ""type"": ""Point""}";49.24735403491156, -123.05522863316601
1;Renfrew-Collingwood;"{""coordinates"": [-123.04819929295729, 49.25002423936286], ""type"": ""Point""}";49.25002423936286, -123.04819929295729
H;Renfrew-Collingwood;"{""coordinates"": [-123.04591012089531, 49.250955907605295], ""type"": ""Point""}";49.250955907605295, -123.04591012089531
K;Renfrew-Collingwood;"{""coordinates"": [-123.04578006097137, 49.2526347376115], ""type"": ""Point""}";49.2526347376115, -123.04578006097137
G;Renfrew-Collingwood;"{""coordinates"": [-123.04831674535546, 49.250977225363464], ""type"": ""Point""}";49.250977225363464, -123.04831674535546
L;Renfrew-Collingwood;"{""coordinates"": [-123.0552269505797, 49.25097012593612], ""type"": ""Point""}";49.25097012593612, -123.0552269505797
M;Renfrew-Collingwood;"{""coordinates"": [-123.04616539920094, 49.254296730027946], ""type"": ""Point""}";49.254296730027946, -123.04616539920094
A;Renfrew-Collingwood;"{""coordinates"": [-123.05125403269443, 49.25602173836826], ""type"": ""Point""}";49.25602173836826, -123.05125403269443
115;Renfrew-Collingwood;"{""coordinates"": [-123.04602024804733, 49.24015509936578], ""type"": ""Point""}";49.24015509936578, -123.04602024804733
122;Renfrew-Collingwood;"{""coordinates"": [-123.04671074777599, 49.24248028942458], ""type"": ""Point""}";49.24248028942458, -123.04671074777599
126;Renfrew-Collingwood;"{""coordinates"": [-123.04777711259555, 49.24276914916278], ""type"": ""Point""}";49.24276914916278, -123.04777711259555
C;Renfrew-Collingwood;"{""coordinates"": [-123.05034127262637, 49.247214521070866], ""type"": ""Point""}";49.247214521070866, -123.05034127262637
1;Killarney;"{""coordinates"": [-123.04770519531793, 49.22873904808256], ""type"": ""Point""}";49.22873904808256, -123.04770519531793
2;Victoria-Fraserview;"{""coordinates"": [-123.05044898448008, 49.231882633023936], ""type"": ""Point""}";49.231882633023936, -123.05044898448008
A;Renfrew-Collingwood;"{""coordinates"": [-123.05005404278623, 49.23872498662916], ""type"": ""Point""}";49.23872498662916, -123.05005404278623
C;Renfrew-Collingwood;"{""coordinates"": [-123.04864528210916, 49.24002643535453], ""type"": ""Point""}";49.24002643535453, -123.04864528210916
4;Renfrew-Collingwood;"{""coordinates"": [-123.05271705656645, 49.23966655750753], ""type"": ""Point""}";49.23966655750753, -123.05271705656645
5;Killarney;"{""coordinates"": [-123.04809241661779, 49.22159847368314], ""type"": ""Point""}";49.22159847368314, -123.04809241661779
4;Killarney;"{""coordinates"": [-123.04657730059537, 49.22174547456101], ""type"": ""Point""}";49.22174547456101, -123.04657730059537
68;Victoria-Fraserview;"{""coordinates"": [-123.05373968637235, 49.2192425335378], ""type"": ""Point""}";49.2192425335378, -123.05373968637235
11;Victoria-Fraserview;"{""coordinates"": [-123.0533713184884, 49.229789662073756], ""type"": ""Point""}";49.229789662073756, -123.0533713184884
2;Killarney;"{""coordinates"": [-123.0472276717676, 49.229689305452894], ""type"": ""Point""}";49.229689305452894, -123.0472276717676
41;Hastings-Sunrise;"{""coordinates"": [-123.04559729125151, 49.282370379939685], ""type"": ""Point""}";49.282370379939685, -123.04559729125151
54;Hastings-Sunrise;"{""coordinates"": [-123.05563912956515, 49.28147053831924], ""type"": ""Point""}";49.28147053831924, -123.05563912956515
23;Hastings-Sunrise;"{""coordinates"": [-123.04560906913821, 49.28418305563853], ""type"": ""Point""}";49.28418305563853, -123.04560906913821
71;Killarney;"{""coordinates"": [-123.0505125911383, 49.20879706735932], ""type"": ""Point""}";49.20879706735932, -123.0505125911383
65;Killarney;"{""coordinates"": [-123.04854534446768, 49.206525952079], ""type"": ""Point""}";49.206525952079, -123.04854534446768
71;Killarney;"{""coordinates"": [-123.04972240328536, 49.21154405839026], ""type"": ""Point""}";49.21154405839026, -123.04972240328536
71;Killarney;"{""coordinates"": [-123.04828141896945, 49.215066736735075], ""type"": ""Point""}";49.215066736735075, -123.04828141896945
53;Hastings-Sunrise;"{""coordinates"": [-123.05335594747886, 49.28147512325129], ""type"": ""Point""}";49.28147512325129, -123.05335594747886
3;Hastings-Sunrise;"{""coordinates"": [-123.0447527608177, 49.273676516327264], ""type"": ""Point""}";49.273676516327264, -123.0447527608177
73;Hastings-Sunrise;"{""coordinates"": [-123.0481294741257, 49.27948799988055], ""type"": ""Point""}";49.27948799988055, -123.0481294741257
56;Hastings-Sunrise;"{""coordinates"": [-123.05337332825236, 49.28058449375281], ""type"": ""Point""}";49.28058449375281, -123.05337332825236
55;Hastings-Sunrise;"{""coordinates"": [-123.05546450492407, 49.28058340996593], ""type"": ""Point""}";49.28058340996593, -123.05546450492407
77;Hastings-Sunrise;"{""coordinates"": [-123.05569153240342, 49.27806666536424], ""type"": ""Point""}";49.27806666536424, -123.05569153240342
34;Hastings-Sunrise;"{""coordinates"": [-123.05074486272665, 49.28328664131972], ""type"": ""Point""}";49.28328664131972, -123.05074486272665
23;Hastings-Sunrise;"{""coordinates"": [-123.03538434981, 49.26231606958807], ""type"": ""Point""}";49.26231606958807, -123.03538434981
24;Hastings-Sunrise;"{""coordinates"": [-123.03789560979035, 49.26232255034065], ""type"": ""Point""}";49.26232255034065, -123.03789560979035
66;Hastings-Sunrise;"{""coordinates"": [-123.0402969523614, 49.27072812947875], ""type"": ""Point""}";49.27072812947875, -123.0402969523614
76;Renfrew-Collingwood;"{""coordinates"": [-123.03669351308851, 49.24399202860425], ""type"": ""Point""}";49.24399202860425, -123.03669351308851
3;Renfrew-Collingwood;"{""coordinates"": [-123.03784110316279, 49.24907769678901], ""type"": ""Point""}";49.24907769678901, -123.03784110316279
3;Renfrew-Collingwood;"{""coordinates"": [-123.03550244451107, 49.24568946847024], ""type"": ""Point""}";49.24568946847024, -123.03550244451107
1;Renfrew-Collingwood;"{""coordinates"": [-123.0422710485956, 49.243647233100944], ""type"": ""Point""}";49.243647233100944, -123.0422710485956
130;Renfrew-Collingwood;"{""coordinates"": [-123.03867612936882, 49.243849419090104], ""type"": ""Point""}";49.243849419090104, -123.03867612936882
117;Renfrew-Collingwood;"{""coordinates"": [-123.0423502680153, 49.2429884110068], ""type"": ""Point""}";49.2429884110068, -123.0423502680153
8;Renfrew-Collingwood;"{""coordinates"": [-123.0449245464707, 49.237968643262874], ""type"": ""Point""}";49.237968643262874, -123.0449245464707
81;Renfrew-Collingwood;"{""coordinates"": [-123.03610962813327, 49.23851208812468], ""type"": ""Point""}";49.23851208812468, -123.03610962813327
150;Renfrew-Collingwood;"{""coordinates"": [-123.03593356238078, 49.23966169001854], ""type"": ""Point""}";49.23966169001854, -123.03593356238078
149;Renfrew-Collingwood;"{""coordinates"": [-123.03631311342637, 49.239790590085086], ""type"": ""Point""}";49.239790590085086, -123.03631311342637
148;Renfrew-Collingwood;"{""coordinates"": [-123.0367361279554, 49.239967419723754], ""type"": ""Point""}";49.239967419723754, -123.0367361279554
121;Renfrew-Collingwood;"{""coordinates"": [-123.0442710080004, 49.24391184345572], ""type"": ""Point""}";49.24391184345572, -123.0442710080004
C;Killarney;"{""coordinates"": [-123.03586931215168, 49.23137454998258], ""type"": ""Point""}";49.23137454998258, -123.03586931215168
27;Renfrew-Collingwood;"{""coordinates"": [-123.03682594452167, 49.23567682149387], ""type"": ""Point""}";49.23567682149387, -123.03682594452167
15;Killarney;"{""coordinates"": [-123.0422074717926, 49.23204872527354], ""type"": ""Point""}";49.23204872527354, -123.0422074717926
40;Killarney;"{""coordinates"": [-123.03555959415988, 49.23261009881914], ""type"": ""Point""}";49.23261009881914, -123.03555959415988
24;Renfrew-Collingwood;"{""coordinates"": [-123.03518533036116, 49.24015451771799], ""type"": ""Point""}";49.24015451771799, -123.03518533036116
18;Renfrew-Collingwood;"{""coordinates"": [-123.0391699466261, 49.2368034697703], ""type"": ""Point""}";49.2368034697703, -123.0391699466261
16;Killarney;"{""coordinates"": [-123.0354416685332, 49.20720006480719], ""type"": ""Point""}";49.20720006480719, -123.0354416685332
1;Killarney;"{""coordinates"": [-123.04019193349852, 49.220356772133755], ""type"": ""Point""}";49.220356772133755, -123.04019193349852
9;Killarney;"{""coordinates"": [-123.04193731815145, 49.22114729475166], ""type"": ""Point""}";49.22114729475166, -123.04193731815145
2;Killarney;"{""coordinates"": [-123.04017786905857, 49.220913044603115], ""type"": ""Point""}";49.220913044603115, -123.04017786905857
3;Killarney;"{""coordinates"": [-123.03779276315649, 49.22495024204344], ""type"": ""Point""}";49.22495024204344, -123.03779276315649
2;Killarney;"{""coordinates"": [-123.03775573356752, 49.22570337362771], ""type"": ""Point""}";49.22570337362771, -123.03775573356752
92;Hastings-Sunrise;"{""coordinates"": [-123.03250019632719, 49.266036820113584], ""type"": ""Point""}";49.266036820113584, -123.03250019632719
112;Hastings-Sunrise;"{""coordinates"": [-123.02501741405975, 49.26898152450056], ""type"": ""Point""}";49.26898152450056, -123.02501741405975
96;Hastings-Sunrise;"{""coordinates"": [-123.02980308603796, 49.268760771505974], ""type"": ""Point""}";49.268760771505974, -123.02980308603796
84;Hastings-Sunrise;"{""coordinates"": [-123.03762819524732, 49.27803930104063], ""type"": ""Point""}";49.27803930104063, -123.03762819524732
82;Hastings-Sunrise;"{""coordinates"": [-123.04271627594241, 49.27807329695109], ""type"": ""Point""}";49.27807329695109, -123.04271627594241
2;Renfrew-Collingwood;"{""coordinates"": [-123.02989177960363, 49.246534017506924], ""type"": ""Point""}";49.246534017506924, -123.02989177960363
2;Renfrew-Collingwood;"{""coordinates"": [-123.02726530054892, 49.24647501084517], ""type"": ""Point""}";49.24647501084517, -123.02726530054892
3;Renfrew-Collingwood;"{""coordinates"": [-123.02983699726157, 49.24566511931138], ""type"": ""Point""}";49.24566511931138, -123.02983699726157
16;Renfrew-Collingwood;"{""coordinates"": [-123.02891390449882, 49.25179107673564], ""type"": ""Point""}";49.25179107673564, -123.02891390449882
20;Renfrew-Collingwood;"{""coordinates"": [-123.03047186566474, 49.25526688796504], ""type"": ""Point""}";49.25526688796504, -123.03047186566474
4;Renfrew-Collingwood;"{""coordinates"": [-123.02559846555619, 49.25687144071507], ""type"": ""Point""}";49.25687144071507, -123.02559846555619
1;Renfrew-Collingwood;"{""coordinates"": [-123.03322631006593, 49.257118351483584], ""type"": ""Point""}";49.257118351483584, -123.03322631006593
C;Renfrew-Collingwood;"{""coordinates"": [-123.02438918861606, 49.25907978414808], ""type"": ""Point""}";49.25907978414808, -123.02438918861606
95;Renfrew-Collingwood;"{""coordinates"": [-123.0326134748658, 49.24382783906278], ""type"": ""Point""}";49.24382783906278, -123.0326134748658
3;Renfrew-Collingwood;"{""coordinates"": [-123.03188762060984, 49.24905150923714], ""type"": ""Point""}";49.24905150923714, -123.03188762060984
13;Renfrew-Collingwood;"{""coordinates"": [-123.02957796683556, 49.23819384933553], ""type"": ""Point""}";49.23819384933553, -123.02957796683556
14;Renfrew-Collingwood;"{""coordinates"": [-123.0302698751999, 49.23826480450038], ""type"": ""Point""}";49.23826480450038, -123.0302698751999
53;Renfrew-Collingwood;"{""coordinates"": [-123.02813498487083, 49.23833571394698], ""type"": ""Point""}";49.23833571394698, -123.02813498487083
62;Renfrew-Collingwood;"{""coordinates"": [-123.02426829063856, 49.23797500912074], ""type"": ""Point""}";49.23797500912074, -123.02426829063856
4;Renfrew-Collingwood;"{""coordinates"": [-123.02522595416946, 49.23631899521093], ""type"": ""Point""}";49.23631899521093, -123.02522595416946
49;Renfrew-Collingwood;"{""coordinates"": [-123.02981178483265, 49.23936559950669], ""type"": ""Point""}";49.23936559950669, -123.02981178483265
158;Renfrew-Collingwood;"{""coordinates"": [-123.03210023851567, 49.23766350006874], ""type"": ""Point""}";49.23766350006874, -123.03210023851567
110;Renfrew-Collingwood;"{""coordinates"": [-123.02421661816425, 49.23914343007151], ""type"": ""Point""}";49.23914343007151, -123.02421661816425
97;Renfrew-Collingwood;"{""coordinates"": [-123.03117642908097, 49.244218008308394], ""type"": ""Point""}";49.244218008308394, -123.03117642908097
7;Renfrew-Collingwood;"{""coordinates"": [-123.02975595811755, 49.23338092347692], ""type"": ""Point""}";49.23338092347692, -123.02975595811755
44;Renfrew-Collingwood;"{""coordinates"": [-123.03301353654254, 49.2404358282485], ""type"": ""Point""}";49.2404358282485, -123.03301353654254
12;Hastings-Sunrise;"{""coordinates"": [-123.0297057658088, 49.28508624422776], ""type"": ""Point""}";49.28508624422776, -123.0297057658088
27;Killarney;"{""coordinates"": [-123.02657464192511, 49.2032762417131], ""type"": ""Point""}";49.2032762417131, -123.02657464192511
6;Killarney;"{""coordinates"": [-123.03424613972452, 49.22553168637024], ""type"": ""Point""}";49.22553168637024, -123.03424613972452
38;Mount Pleasant;"{""coordinates"": [-123.10413991204581, 49.260587279133745], ""type"": ""Point""}";49.260587279133745, -123.10413991204581
J;Kitsilano;"{""coordinates"": [-123.1426850862504, 49.27387300294571], ""type"": ""Point""}";49.27387300294571, -123.1426850862504
1;Hastings-Sunrise;"{""coordinates"": [-123.03223520010847, 49.27690124180252], ""type"": ""Point""}";49.27690124180252, -123.03223520010847
25;Hastings-Sunrise;"{""coordinates"": [-123.0297443604878, 49.284166478065835], ""type"": ""Point""}";49.284166478065835, -123.0297443604878
31;Hastings-Sunrise;"{""coordinates"": [-123.03191557516911, 49.28326543704317], ""type"": ""Point""}";49.28326543704317, -123.03191557516911
10;Strathcona;"{""coordinates"": [-123.07821977940078, 49.28063429255444], ""type"": ""Point""}";49.28063429255444, -123.07821977940078
52;Riley Park;"{""coordinates"": [-123.09321658934225, 49.25315953474385], ""type"": ""Point""}";49.25315953474385, -123.09321658934225
25;Riley Park;"{""coordinates"": [-123.09971093266306, 49.25147744772027], ""type"": ""Point""}";49.25147744772027, -123.09971093266306
33;Mount Pleasant;"{""coordinates"": [-123.10586056489329, 49.26148038800743], ""type"": ""Point""}";49.26148038800743, -123.10586056489329
3;Kensington-Cedar Cottage;"{""coordinates"": [-123.0723699558946, 49.252855260269705], ""type"": ""Point""}";49.252855260269705, -123.0723699558946
A;Kensington-Cedar Cottage;"{""coordinates"": [-123.07376184135988, 49.25197592459499], ""type"": ""Point""}";49.25197592459499, -123.07376184135988
11;Grandview-Woodland;"{""coordinates"": [-123.07568247820703, 49.280610049165176], ""type"": ""Point""}";49.280610049165176, -123.07568247820703
13;Strathcona;"{""coordinates"": [-123.07830057697842, 49.279656965597894], ""type"": ""Point""}";49.279656965597894, -123.07830057697842
13;Grandview-Woodland;"{""coordinates"": [-123.07182887773051, 49.27969921939], ""type"": ""Point""}";49.27969921939, -123.07182887773051
CREEK;Fairview;"{""coordinates"": [-123.13645046647501, 49.26870871007082], ""type"": ""Point""}";49.26870871007082, -123.13645046647501
L;Marpole;"{""coordinates"": [-123.1408984618681, 49.20426814611988], ""type"": ""Point""}";49.20426814611988, -123.1408984618681
B;Arbutus Ridge;"{""coordinates"": [-123.15334921710577, 49.2410094262253], ""type"": ""Point""}";49.2410094262253, -123.15334921710577
11;Marpole;"{""coordinates"": [-123.10765491381895, 49.20857929747043], ""type"": ""Point""}";49.20857929747043, -123.10765491381895
3;Renfrew-Collingwood;"{""coordinates"": [-123.05373445865261, 49.24425855363778], ""type"": ""Point""}";49.24425855363778, -123.05373445865261
E1/2;West Point Grey;"{""coordinates"": [-123.20786839588523, 49.26603138668929], ""type"": ""Point""}";49.26603138668929, -123.20786839588523
6;Dunbar-Southlands;"{""coordinates"": [-123.18016063836534, 49.223870081688034], ""type"": ""Point""}";49.223870081688034, -123.18016063836534
154;Renfrew-Collingwood;"{""coordinates"": [-123.03428683104087, 49.23828977734352], ""type"": ""Point""}";49.23828977734352, -123.03428683104087
BLK;Grandview-Woodland;"{""coordinates"": [-123.06455592402345, 49.26842664889095], ""type"": ""Point""}";49.26842664889095, -123.06455592402345
WEST;Victoria-Fraserview;"{""coordinates"": [-123.07651123764501, 49.22118954920346], ""type"": ""Point""}";49.22118954920346, -123.07651123764501
WEST;Victoria-Fraserview;"{""coordinates"": [-123.0735721291806, 49.22655272760717], ""type"": ""Point""}";49.22655272760717, -123.0735721291806
24;Strathcona;"{""coordinates"": [-123.09954948457394, 49.27575943407339], ""type"": ""Point""}";49.27575943407339, -123.09954948457394
W1/2;Mount Pleasant;"{""coordinates"": [-123.07921080253685, 49.26030080843986], ""type"": ""Point""}";49.26030080843986, -123.07921080253685
PT.;Kensington-Cedar Cottage;"{""coordinates"": [-123.083087716689, 49.24323416423853], ""type"": ""Point""}";49.24323416423853, -123.083087716689
HALF;Victoria-Fraserview;"{""coordinates"": [-123.06130818943853, 49.22691967087573], ""type"": ""Point""}";49.22691967087573, -123.06130818943853
W10  AC.;Victoria-Fraserview;"{""coordinates"": [-123.06034167159825, 49.23182741686339], ""type"": ""Point""}";49.23182741686339, -123.06034167159825
N1/2  OF;Victoria-Fraserview;"{""coordinates"": [-123.06117716151809, 49.23182426086332], ""type"": ""Point""}";49.23182426086332, -123.06117716151809
SOUTH;Kensington-Cedar Cottage;"{""coordinates"": [-123.06420202936476, 49.23776835343686], ""type"": ""Point""}";49.23776835343686, -123.06420202936476
N1/2;Hastings-Sunrise;"{""coordinates"": [-123.02715557411356, 49.27873698859197], ""type"": ""Point""}";49.27873698859197, -123.02715557411356
EAST           HALF;Renfrew-Collingwood;"{""coordinates"": [-123.04721744999038, 49.23546563815166], ""type"": ""Point""}";49.23546563815166, -123.04721744999038
NORTH;Kensington-Cedar Cottage;"{""coordinates"": [-123.07052623371764, 49.24275021520309], ""type"": ""Point""}";49.24275021520309, -123.07052623371764
4;Sunset;"{""coordinates"": [-123.10327175545386, 49.2174226692673], ""type"": ""Point""}";49.2174226692673, -123.10327175545386
3;Grandview-Woodland;"{""coordinates"": [-123.06283727673058, 49.27073983824009], ""type"": ""Point""}";49.27073983824009, -123.06283727673058
K;Strathcona;"{""coordinates"": [-123.08052967179745, 49.282501228963], ""type"": ""Point""}";49.282501228963, -123.08052967179745
A;Strathcona;"{""coordinates"": [-123.0795497344518, 49.28249404595259], ""type"": ""Point""}";49.28249404595259, -123.0795497344518
EAST;Victoria-Fraserview;"{""coordinates"": [-123.06155497186919, 49.23059182714578], ""type"": ""Point""}";49.23059182714578, -123.06155497186919
J;Hastings-Sunrise;"{""coordinates"": [-123.02943598733206, 49.29034317831792], ""type"": ""Point""}";49.29034317831792, -123.02943598733206
PT. BLK. A;Victoria-Fraserview;"{""coordinates"": [-123.05817139618532, 49.23158904944897], ""type"": ""Point""}";49.23158904944897, -123.05817139618532
CENTRE PORTION;Kensington-Cedar Cottage;"{""coordinates"": [-123.06827350943529, 49.23541809763653], ""type"": ""Point""}";49.23541809763653, -123.06827350943529
2;West Point Grey;"{""coordinates"": [-123.21299571671419, 49.26346528567555], ""type"": ""Point""}";49.26346528567555, -123.21299571671419
1;West Point Grey;"{""coordinates"": [-123.21430937400693, 49.2652879759819], ""type"": ""Point""}";49.2652879759819, -123.21430937400693
136;West Point Grey;"{""coordinates"": [-123.2135983752338, 49.2704417647019], ""type"": ""Point""}";49.2704417647019, -123.2135983752338
2;West Point Grey;"{""coordinates"": [-123.21282921195471, 49.27071573865384], ""type"": ""Point""}";49.27071573865384, -123.21282921195471
142;West Point Grey;"{""coordinates"": [-123.21075125376287, 49.26828722649211], ""type"": ""Point""}";49.26828722649211, -123.21075125376287
143;West Point Grey;"{""coordinates"": [-123.21377696570204, 49.26834734196118], ""type"": ""Point""}";49.26834734196118, -123.21377696570204
1;West Point Grey;"{""coordinates"": [-123.2141972027716, 49.268578190216616], ""type"": ""Point""}";49.268578190216616, -123.2141972027716
D;West Point Grey;"{""coordinates"": [-123.21374749794691, 49.27250363867593], ""type"": ""Point""}";49.27250363867593, -123.21374749794691
4;West Point Grey;"{""coordinates"": [-123.20816924531306, 49.269512394525826], ""type"": ""Point""}";49.269512394525826, -123.20816924531306
C;West Point Grey;"{""coordinates"": [-123.20430491630341, 49.26960450360921], ""type"": ""Point""}";49.26960450360921, -123.20430491630341
140;West Point Grey;"{""coordinates"": [-123.20456440633029, 49.268191770494845], ""type"": ""Point""}";49.268191770494845, -123.20456440633029
4;West Point Grey;"{""coordinates"": [-123.2143785884229, 49.26258975159686], ""type"": ""Point""}";49.26258975159686, -123.2143785884229
3;West Point Grey;"{""coordinates"": [-123.2130256679116, 49.26257165491662], ""type"": ""Point""}";49.26257165491662, -123.2130256679116
B;;"{""coordinates"": [-123.22081575010507, 49.26261947415737], ""type"": ""Point""}";49.26261947415737, -123.22081575010507
4;West Point Grey;"{""coordinates"": [-123.19936291532997, 49.258591151476104], ""type"": ""Point""}";49.258591151476104, -123.19936291532997
3;West Point Grey;"{""coordinates"": [-123.20364032948716, 49.26425524681797], ""type"": ""Point""}";49.26425524681797, -123.20364032948716
149;West Point Grey;"{""coordinates"": [-123.2078774153017, 49.26498169248661], ""type"": ""Point""}";49.26498169248661, -123.2078774153017
1;West Point Grey;"{""coordinates"": [-123.19917017806871, 49.263108953330516], ""type"": ""Point""}";49.263108953330516, -123.19917017806871
D;West Point Grey;"{""coordinates"": [-123.19142060153321, 49.2694214047068], ""type"": ""Point""}";49.2694214047068, -123.19142060153321
A;West Point Grey;"{""coordinates"": [-123.19834426093499, 49.26762255978529], ""type"": ""Point""}";49.26762255978529, -123.19834426093499
A;Dunbar-Southlands;"{""coordinates"": [-123.20149499272127, 49.23489962631455], ""type"": ""Point""}";49.23489962631455, -123.20149499272127
4;West Point Grey;"{""coordinates"": [-123.20864402576449, 49.26067751318221], ""type"": ""Point""}";49.26067751318221, -123.20864402576449
4;West Point Grey;"{""coordinates"": [-123.20528362538073, 49.260642109683495], ""type"": ""Point""}";49.260642109683495, -123.20528362538073
3;West Point Grey;"{""coordinates"": [-123.20692255407462, 49.26231700069564], ""type"": ""Point""}";49.26231700069564, -123.20692255407462
4;West Point Grey;"{""coordinates"": [-123.2053875093952, 49.25882588944099], ""type"": ""Point""}";49.25882588944099, -123.2053875093952
3;West Point Grey;"{""coordinates"": [-123.20999256210074, 49.26250920355707], ""type"": ""Point""}";49.26250920355707, -123.20999256210074
180;West Point Grey;"{""coordinates"": [-123.18953350781068, 49.26273348480995], ""type"": ""Point""}";49.26273348480995, -123.18953350781068
166;West Point Grey;"{""coordinates"": [-123.19598962973875, 49.259224285472094], ""type"": ""Point""}";49.259224285472094, -123.19598962973875
3;West Point Grey;"{""coordinates"": [-123.1979159751573, 49.2603756278278], ""type"": ""Point""}";49.2603756278278, -123.1979159751573
172;West Point Grey;"{""coordinates"": [-123.19275538445609, 49.26100787397993], ""type"": ""Point""}";49.26100787397993, -123.19275538445609
2;West Point Grey;"{""coordinates"": [-123.19179959743568, 49.261190178452594], ""type"": ""Point""}";49.261190178452594, -123.19179959743568
4;West Point Grey;"{""coordinates"": [-123.19315566696552, 49.262114894182766], ""type"": ""Point""}";49.262114894182766, -123.19315566696552
33;Dunbar-Southlands;"{""coordinates"": [-123.1896557990786, 49.25121119719614], ""type"": ""Point""}";49.25121119719614, -123.1896557990786
4;Dunbar-Southlands;"{""coordinates"": [-123.19283420267838, 49.255966209942684], ""type"": ""Point""}";49.255966209942684, -123.19283420267838
3;Dunbar-Southlands;"{""coordinates"": [-123.18944345586534, 49.23454627411779], ""type"": ""Point""}";49.23454627411779, -123.18944345586534
194;West Point Grey;"{""coordinates"": [-123.18701737420848, 49.26556205384351], ""type"": ""Point""}";49.26556205384351, -123.18701737420848
58;Kitsilano;"{""coordinates"": [-123.17898705835553, 49.26368813571329], ""type"": ""Point""}";49.26368813571329, -123.17898705835553
5;Kitsilano;"{""coordinates"": [-123.18456775537229, 49.27163609961166], ""type"": ""Point""}";49.27163609961166, -123.18456775537229
7;Kitsilano;"{""coordinates"": [-123.18065437427863, 49.271505989185535], ""type"": ""Point""}";49.271505989185535, -123.18065437427863
27;Kitsilano;"{""coordinates"": [-123.18471727489816, 49.26808168593037], ""type"": ""Point""}";49.26808168593037, -123.18471727489816
17;Kitsilano;"{""coordinates"": [-123.1807654442782, 49.26974777573038], ""type"": ""Point""}";49.26974777573038, -123.1807654442782
18;Kitsilano;"{""coordinates"": [-123.17868772166597, 49.26971581835774], ""type"": ""Point""}";49.26971581835774, -123.17868772166597
229;West Point Grey;"{""coordinates"": [-123.18677423025854, 49.26984296804405], ""type"": ""Point""}";49.26984296804405, -123.18677423025854
235;West Point Grey;"{""coordinates"": [-123.18827402143869, 49.27257239385545], ""type"": ""Point""}";49.27257239385545, -123.18827402143869
113;Kitsilano;"{""coordinates"": [-123.18311561512623, 49.25830759229449], ""type"": ""Point""}";49.25830759229449, -123.18311561512623
114;Kitsilano;"{""coordinates"": [-123.1815942855552, 49.258287955157556], ""type"": ""Point""}";49.258287955157556, -123.1815942855552
75;Kitsilano;"{""coordinates"": [-123.17874198652233, 49.26186022937937], ""type"": ""Point""}";49.26186022937937, -123.17874198652233
74;Kitsilano;"{""coordinates"": [-123.18132857707641, 49.261897136128155], ""type"": ""Point""}";49.261897136128155, -123.18132857707641
2;West Point Grey;"{""coordinates"": [-123.18715032245292, 49.26220881995373], ""type"": ""Point""}";49.26220881995373, -123.18715032245292
4;Kitsilano;"{""coordinates"": [-123.17938537050145, 49.2626735778224], ""type"": ""Point""}";49.2626735778224, -123.17938537050145
C;Kitsilano;"{""coordinates"": [-123.18295787304474, 49.26101473675], ""type"": ""Point""}";49.26101473675, -123.18295787304474
73;Kitsilano;"{""coordinates"": [-123.18301000825579, 49.26191914091934], ""type"": ""Point""}";49.26191914091934, -123.18301000825579
