ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
1,210 Abbott St.,Dominion Hotel,214 & 216 Abbott St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2835594791821,-123.106232882711,BCH,Atira Property Managem,Non-Profit,Government,63,Open,address
2,320 Abbott St.,Metropole Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2825361685905,-123.106675245075,Phl Kim - 0733603 BC Ltd,Private,Private,Private,60,Open,address
3,404 Abbott St.,Abbott Mansions,"418, 402 & 420 Abbott St.; 84 W Hastings St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2816803732872,-123.107051739579,Central City Foundation,Atira Property Managem,Non-Profit,Non-Profit,70,Open,building name
4,455 Abbott St.,Lotus Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2813983766772,-123.107691821345,PR Lotus Hotel Ltd,Private,Private,Private,110,Open,address
5,90 Alexander St.,Alexander Residence,103 Columbia St.; 91 & 99 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834925424538,-123.102477767824,COV,COV,Government,Government,30,Open,building name
6,313 Alexander St.,Kenworth Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2842428088173,-123.097332628042,COV,Atira Property Managem,Non-Profit,Government,24,Open,address
7,362 Alexander St.,Seaview Apartments,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837644869862,-123.095676533273,Babek Industries Ltd,Atira Women's Resourc,N on-Profit,Private,36,Open,address
8,"500 & 502
 Alexander St.",International Inn,120 Jackson Ave.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837113883212,-123.093080321181,,,,,,,unmatched
9,504 Alexander St.,Decker Residence,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837132479636,-123.092892790724,Decker Residence Ltd,Private,Private,Private,37,Open,address
10,514 Alexander St.,Phoenix Apartments,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837042893413,-123.092400809148,COV,,,Government,20,Closed,address
11,610 Alexander St.,Laurel Apartments,612 Alexander St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2836789405264,-123.091025438138,Chris Wall - 1078022 BC LTD,Private,Private,Private,50,Open,address
12,658 Alexander St.,Star Beach Haven,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2836608333694,-123.090031271811,Helen Poon - Rose Hotels Ltd,Private,Private,Private,19,Open,address
13,666 Alexander St.,Ocean Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2836570392772,-123.089821848446,,,,,,,unmatched
14,58 Alexander St.,Alexander Residence,59 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2834619432774,-123.102704920954,COV,COV,Government,Government,30,Open,address
15,310 Alexander St.,Veterans Memorial Manor,320  Alexander St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.283791367139,-123.097090121901,COV,COV,Government,Government,134,Open,address
16,36 Blood Alley Square,Stanley/new Fountain,"30, 40, 44, 52 & 60 Blood Alley Square; 23, 25, 33, 41, 45, 47, 49 & 51 W Cordova St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2828704317282,-123.105225267059,,,,,,,unmatched
17,313 Cambie St.,Danny's Inn/rooms,"315, 317,319, 321, 323 & 325 Cambie St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2832563266561,-123.109494544096,Danny's Inn LTD,Private,Private,Private,18,Open,building name
18,322 Cambie St.,Meville Rooms,324 Cambie St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2829219566933,-123.109111485486,1296536 BC Ltd (Babak Marzbani),Private,Private,Private,9,Open,address
19,340 Cambie St.,Gastown Hostel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827649720642,-123.109069982215,635142 BC Ltd,,,Private,42,Closed,address
20,425 Campbell Ave.,St. Elmo Hotel/rooms,427 & 429 Campbell Ave.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2804819484319,-123.085054799353,Chris Los - Polo Hotel Ltd,Private,Private,Private,20,Open,address
21,204 Carrall St.,Glory Hotel,202 & 206 Carrall St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2829958347528,-123.10389365387,Mike Goyal - 1001438 BC Ltd,Private,Private,Private,41,Open,address
22,309 Carrall St.,Rainier Hotel,"307, 313 & 315 Carrall St.;  2 & 6 W Cordova St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2822409961511,-123.10462143333,BCH,PHS,Non-Profit,Government,21,Open,address
23,412 Carrall St.,Pennsylvania Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2811164418784,-123.104152624996,BCH,PHS,Non-Profit,Government,44,Open,address
24,488 Carrall St.,West Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2808219933294,-123.104059830663,Chris Wall - 1058063 BC Ltd,Private,Private,Private,98,Open,address
25,303 Columbia St.,New Columbia Hotel,321 Columbia St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820807755428,-123.10246826645,Atira,Atira,Non-Profit,Non-Profit,78,Open,address
26,351 Columbia St.,Evergreen Rooms,369 & 375 Columbia St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2816904957748,-123.102432764316,Yahya Nickpour - Persepolis Investments Inc,Private,Private,Private,27,Open,address
27,412 Columbia St.,Cosy Corner Inn,100 E Hastings St.; 410 Columbia St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2811462651224,-123.102075068973,,,,,,,unmatched
28,414 Columbia St.,Yin Ping Benevolent Soc.,416 & 420 Columbia St.; 106 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2810757567627,-123.101973792024,Yin Ping Benevolent Society of Canada,Bob Leung and Richard Chang,,Chinese Society,14,Open,address
29,42 E Cordova St.,Central Residence,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.282095454619,-123.103254122375,COV,COV,Government,Government,65,Open,address
30,50 E Cordova St.,Wonder Rooms,52 E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820915049232,-123.103044364153,Southwood Ventures Inc,Private,Private,Private,39,Open,address
31,54 E Cordova St.,Cordova's Residence,56 E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820895295285,-123.102939938567,BCH,Atira Property Managem,Non-Profit,Government,30,Open,address
32,100 E Cordova St.,Bridge Housing,302 Columbia St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820716726075,-123.101982194735,BCH,Atira Property Managem,Non-Profit,Government,36,Open,address
33,139 E Cordova St.,United Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2825662118281,-123.100860644596,Shun Chi Company Ltd. Chris Wall - 1208149 BD L,P rivate,Private,Private,44,Open,address
34,512 E Cordova St.,Smiley's Rooms,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2819051382726,-123.093001751984,Raincty Housing And Support Society,Raincity,Non-Profit,Non-Profit,24,Open,address
35,9 W Cordova St.,Boulder Rooms,1 W Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2827018399691,-123.104594063322,,,,,,,unmatched
36,50 W Cordova St.,Hildon Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2824769484685,-123.105842800256,Newton Investments Ltd,Private,Private,Private,135,Open,address
37,57 W Cordova St.,Traveller's Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2830108503539,-123.105682375769,Peter Plett - Fortin Holdings Ltd,Private,Private,Private,58,Open,address
38,368 E Cordova St.,Cordova House,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2819632761177,-123.09613857891,BCH,Bloom Group,Non-Profit,Government,70,Open,address
39,420 E Cordova St.,Hugh Bird Residence,412 E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2819389125644,-123.094822326214,BCH,COV,Government,Government,65,Open,address
40,450 E Cordova St.,Oppenheimer Lodge,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2819220331967,-123.093906880104,BCH,COV,Government,Government,147,Open,address
41,535 E Cordova St.,Antoinette Lodge,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2824133936589,-123.092614270999,BCH,COV,Government,Government,78,Open,address
42,604 E Cordova St.,Union Gospel Mission,616 E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2818679714333,-123.090999089178,,,,,,,unmatched
43,124 Dunlevy Ave.,Roddan Lodge,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837484624027,-123.094823641663,,,,,,,unmatched
44,143 Dunlevy Ave.,New Wings Hotel,"131,135 & 139 Dunlevy Ave.; 395, 397 & 399 Powell St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.283372313439,-123.095536202149,"Kim, Yung J",Atira Women's Resourc,N on-Profit,Private,56,Open,address
45,500 Dunsmuir St.,Dunsmuir House,,Downtown Core,49.2823801723275,-123.114980602883,Holborn,,,Private,167,Closed,address
46,208 E Georgia St.,Pacific Hotel,212 E Georgia St; 700,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2784015631764,-123.099313268731,Porte Industries Ltd,Atira Property Managem,Non-Profit,Private,73,Open,address
47,221 E Georgia St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2788174005972,-123.098806429003,Giovanni & Catherine Casu - Casu Holdings Ltd,Private,Private,Private,16,Open,address
