ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
81,344 E Hastings St.,Hazelwood Hotel,342 & 346 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2809711122655,-123.096375873156,BCH,Atira Property Managem,Non-Profit,Government,110,Open,address
82,367 E Hastings St.,Holborn Hotel,369 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2815709400939,-123.095977841047,Kam C Woo & Lin D Woo,Private,Private,Private,35,Open,address
83,389 E Hastings St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2815632832318,-123.095558897617,ING SUEY SUN TONG ASSOCIATION,Private,Private,Chinese Society,7,Closed,address
84,403 E Hastings St.,Patricia Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2815551857318,-123.095127141854,BCH,Atira Property Managem,Non-Profit,Government,204,Open,address
85,456 E Hastings St.,Orwell Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2809303096108,-123.09416133949,BCH,Vancouver Native Hous,Non-Profit,Government,55,Open,address
86,561 E Hastings St.,Patrick Anthony Residence,563 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2814967650498,-123.09197220117,Peter Plett - Pepple Enterprises Ltd,Atira Property Managem,Non-Profit,Private,54,Open,address
87,375 Princess Ave.,Carl Rooms,573 & 577 E Hastings St.; 335 Princess Ave.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2814918464697,-123.09171097145,BCH,Atira Property Managem,Non-Profit,Government,44,Open,address
88,635 E Hastings St.,Shamrock Hotel,637 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2814721793192,-123.090649386696,Angie Kalhar,Private,Private,Private,29,Open,address
89,769 E Hastings St.,Astoria Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2814208732398,-123.087912829708,Sahota - Yang-Myung Holdings Ltd,Private,Private,Private,85,Open,address
90,786 E Hastings St.,Woodbine Hotel,782 & 784 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2808072051953,-123.087626032828,Kim Thanh Nguyen,Private,Private,Private,45,Open,building name
91,872 E Hastings St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.280767688409,-123.085513327059,Diao Yuying M and Yang Shuping,Private,Private,Private,7,Open,address
92,1168 E Hastings St.,Vernon Apartments,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2806779457164,-123.079711653891,BC Housing,,,Government,32,Closed,address
93,1190 E Hastings St.,St. Clair No. 2,"1192 E Hastings St.; 403, 405 & 407 Vernon Dr.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2806740359021,-123.079381726036,TLA Enterprises LTD,Private,Private,Private,30,Open,address
94,5 W Hastings St.,Canadian North Star,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.281869611542,-123.104874273936,Soterra - Five West Hastings Holdings Ltd,Private,Private,Private,31,Open,address
95,7 W Hastings St.,Beacon Hotel,9 & 11 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2818937730614,-123.105006977331,BCH,PHS,Non-Profit,Government,36,Open,address
