civic_number;geo_local_area;geom;p_parcel_id;pcoord;site_id;std_street;geo_point_2d
3780;Riley Park;"{""coordinates"": [-123.11490364327835, 49.25127411316316], ""type"": ""Point""}";__FIYNUO;17070298;013358308;CAMBIE ST;49.25127411316316, -123.11490364327835
465;Riley Park;"{""coordinates"": [-123.11411999535945, 49.25138688943709], ""type"": ""Point""}";__FIYNUU;70317039;010871781;W 22ND AV;49.25138688943709, -123.11411999535945
447;Riley Park;"{""coordinates"": [-123.11378112192533, 49.2513804862447], ""type"": ""Point""}";__FIYNUY;70317055;013351231;W 22ND AV;49.2513804862447, -123.11378112192533
439;Riley Park;"{""coordinates"": [-123.11362048320812, 49.2513788452906], ""type"": ""Point""}";__FIYNV0;70317063;006712011;W 22ND AV;49.2513788452906, -123.11362048320812
431;Riley Park;"{""coordinates"": [-123.11345350774857, 49.25137631081347], ""type"": ""Point""}";__FIYNV2;70317071;010871845;W 22ND AV;49.25137631081347, -123.11345350774857
448;Riley Park;"{""coordinates"": [-123.11377392549008, 49.25177087710756], ""type"": ""Point""}";__FIYNVK;70217056;013351371;W 21ST AV;49.25177087710756, -123.11377392549008
462;Riley Park;"{""coordinates"": [-123.11405218146018, 49.25177420084404], ""type"": ""Point""}";__FIYNVO;70217044;005273811;W 21ST AV;49.25177420084404, -123.11405218146018
482;Riley Park;"{""coordinates"": [-123.11448642541576, 49.25178185805844], ""type"": ""Point""}";__FIYNVU;70217024;007538103;W 21ST AV;49.25178185805844, -123.11448642541576
3660;Riley Park;"{""coordinates"": [-123.11485947522308, 49.252350426736385], ""type"": ""Point""}";__FIYNW6;17069792;013361287;CAMBIE ST;49.252350426736385, -123.11485947522308
3660;Riley Park;"{""coordinates"": [-123.11486545852446, 49.252264066637025], ""type"": ""Point""}";__FIYNW8;17069792;013361295;CAMBIE ST;49.252264066637025, -123.11486545852446
475;Riley Park;"{""coordinates"": [-123.11429839388404, 49.252283968761915], ""type"": ""Point""}";__FIYNWC;70217031;013361341;W 21ST AV;49.252283968761915, -123.11429839388404
469;Riley Park;"{""coordinates"": [-123.11415739730258, 49.252280060314064], ""type"": ""Point""}";__FIYNWE;70217037;013362208;W 21ST AV;49.252280060314064, -123.11415739730258
447;Riley Park;"{""coordinates"": [-123.11374609725813, 49.25227238827114], ""type"": ""Point""}";__FIYNWK;70217055;013361457;W 21ST AV;49.25227238827114, -123.11374609725813
433;Riley Park;"{""coordinates"": [-123.11347057202356, 49.25226861135393], ""type"": ""Point""}";__FIYNWO;70217067;013361473;W 21ST AV;49.25226861135393, -123.11347057202356
419;Riley Park;"{""coordinates"": [-123.11319160840492, 49.25226349686], ""type"": ""Point""}";__FIYNWQ;70217079;013361481;W 21ST AV;49.25226349686, -123.11319160840492
403;Riley Park;"{""coordinates"": [-123.11291745434698, 49.252258376991946], ""type"": ""Point""}";__FIYNWU;70217095;012926051;W 21ST AV;49.252258376991946, -123.11291745434698
420;Riley Park;"{""coordinates"": [-123.11318366976255, 49.25263185904987], ""type"": ""Point""}";__FIYNX0;69717078;013361511;W 20TH AV;49.25263185904987, -123.11318366976255
478;Riley Park;"{""coordinates"": [-123.11428221646796, 49.252651439656056], ""type"": ""Point""}";__FIYNXE;69717030;003457966;W 20TH AV;49.252651439656056, -123.11428221646796
3530;Riley Park;"{""coordinates"": [-123.11479536529414, 49.253716837827845], ""type"": ""Point""}";__FIYNXK;17069408;013855981;CAMBIE ST;49.253716837827845, -123.11479536529414
3530;Riley Park;"{""coordinates"": [-123.11480525237802, 49.25353602404185], ""type"": ""Point""}";__FIYNXO;17069408;013856022;CAMBIE ST;49.25353602404185, -123.11480525237802
3560;Riley Park;"{""coordinates"": [-123.11480916736761, 49.253446526685956], ""type"": ""Point""}";__FIYNXQ;17069468;013856341;CAMBIE ST;49.253446526685956, -123.11480916736761
481;Riley Park;"{""coordinates"": [-123.1144153423789, 49.25322114628008], ""type"": ""Point""}";__FIYNXY;69717027;013856031;W 20TH AV;49.25322114628008, -123.1144153423789
404;Riley Park;"{""coordinates"": [-123.11286236362628, 49.253626136482445], ""type"": ""Point""}";__FIYNYK;69417096;013856138;W 19TH AV;49.253626136482445, -123.11286236362628
434;Riley Park;"{""coordinates"": [-123.11341550275671, 49.25363906965506], ""type"": ""Point""}";__FIYNYS;69417068;013856154;W 19TH AV;49.25363906965506, -123.11341550275671
476;Riley Park;"{""coordinates"": [-123.11424211285043, 49.25365533717537], ""type"": ""Point""}";__FIYNZ4;69417032;013856189;W 19TH AV;49.25365533717537, -123.11424211285043
396;Riley Park;"{""coordinates"": [-123.11241558742401, 49.25361352898965], ""type"": ""Point""}";__FIYNZ8;69417204;013853295;W 19TH AV;49.25361352898965, -123.11241558742401
386;Riley Park;"{""coordinates"": [-123.11228930876602, 49.25361140298484], ""type"": ""Point""}";__FIYNZA;69417212;013853309;W 19TH AV;49.25361140298484, -123.11228930876602
328;Riley Park;"{""coordinates"": [-123.1115966938674, 49.25359994850988], ""type"": ""Point""}";__FIYNZK;69417238;014197243;W 19TH AV;49.25359994850988, -123.1115966938674
317;Riley Park;"{""coordinates"": [-123.11149058027486, 49.25317323665975], ""type"": ""Point""}";__FIYNZQ;69717241;013853562;W 20TH AV;49.25317323665975, -123.11149058027486
327;Riley Park;"{""coordinates"": [-123.11162442945667, 49.25317535622338], ""type"": ""Point""}";__FIYNZS;69717237;013853571;W 20TH AV;49.25317535622338, -123.11162442945667
373;Riley Park;"{""coordinates"": [-123.11218181299206, 49.253183802585276], ""type"": ""Point""}";__FIYNZY;69717217;003717003;W 20TH AV;49.253183802585276, -123.11218181299206
389;Riley Park;"{""coordinates"": [-123.11232061636477, 49.25318905586449], ""type"": ""Point""}";__FIYO00;69717211;010934529;W 20TH AV;49.25318905586449, -123.11232061636477
395;Riley Park;"{""coordinates"": [-123.11246421916485, 49.2531898156891], ""type"": ""Point""}";__FIYO02;69717205;013853589;W 20TH AV;49.2531898156891, -123.11246421916485
362;Riley Park;"{""coordinates"": [-123.11205268367567, 49.252607792857894], ""type"": ""Point""}";__FIYO08;69717224;013360108;W 20TH AV;49.252607792857894, -123.11205268367567
328;Riley Park;"{""coordinates"": [-123.11160194702838, 49.25260193247745], ""type"": ""Point""}";__FIYO0E;69717240;013360175;W 20TH AV;49.25260193247745, -123.11160194702838
395;Riley Park;"{""coordinates"": [-123.11251152650689, 49.25225022755168], ""type"": ""Point""}";__FIYO0S;70217207;003397734;W 21ST AV;49.25225022755168, -123.11251152650689
396;Riley Park;"{""coordinates"": [-123.11250127171677, 49.25174066706938], ""type"": ""Point""}";__FIYO0U;70217204;013350129;W 21ST AV;49.25174066706938, -123.11250127171677
388;Riley Park;"{""coordinates"": [-123.11236605431046, 49.251739458370466], ""type"": ""Point""}";__FIYO0W;70217212;009289526;W 21ST AV;49.251739458370466, -123.11236605431046
376;Riley Park;"{""coordinates"": [-123.11209259028105, 49.25173432687899], ""type"": ""Point""}";__FIYO10;70217220;006084460;W 21ST AV;49.25173432687899, -123.11209259028105
375;Riley Park;"{""coordinates"": [-123.11226414508438, 49.2513500641933], ""type"": ""Point""}";__FIYO1K;70317217;013350412;W 22ND AV;49.2513500641933, -123.11226414508438
386;Riley Park;"{""coordinates"": [-123.11241060227036, 49.25080077224379], ""type"": ""Point""}";__FIYO1U;70317212;013376799;W 22ND AV;49.25080077224379, -123.11241060227036
352;Riley Park;"{""coordinates"": [-123.11199421479701, 49.25079219039728], ""type"": ""Point""}";__FIYO20;70317228;009923471;W 22ND AV;49.25079219039728, -123.11199421479701
342;Riley Park;"{""coordinates"": [-123.11185404913557, 49.250789177855665], ""type"": ""Point""}";__FIYO22;70317232;002618982;W 22ND AV;49.250789177855665, -123.11185404913557
328;Riley Park;"{""coordinates"": [-123.11171113629923, 49.25078661756166], ""type"": ""Point""}";__FIYO24;70317238;013376837;W 22ND AV;49.25078661756166, -123.11171113629923
351;Riley Park;"{""coordinates"": [-123.1120302663247, 49.250328451510626], ""type"": ""Point""}";__FIYO2I;70717229;013376993;W 23RD AV;49.250328451510626, -123.1120302663247
366;Riley Park;"{""coordinates"": [-123.11203991762666, 49.24974780921384], ""type"": ""Point""}";__FIYO30;70717228;013343009;W 23RD AV;49.24974780921384, -123.11203991762666
342;Riley Park;"{""coordinates"": [-123.11190113509272, 49.24974749395657], ""type"": ""Point""}";__FIYO32;70717232;013343050;W 23RD AV;49.24974749395657, -123.11190113509272
598;South Cambie;"{""coordinates"": [-123.11817162351716, 49.249774559705635], ""type"": ""Point""}";__FIYO3E;70716504;010790594;W 24TH AV;49.249774559705635, -123.11817162351716
566;South Cambie;"{""coordinates"": [-123.11690939801265, 49.24975244728472], ""type"": ""Point""}";__FIYO3U;70716552;007560605;W 24TH AV;49.24975244728472, -123.11690939801265
4005;South Cambie;"{""coordinates"": [-123.11583214923031, 49.24971745249312], ""type"": ""Point""}";__FIYO44;17070703;007663013;CAMBIE ST;49.24971745249312, -123.11583214923031
3885;South Cambie;"{""coordinates"": [-123.11581669319749, 49.25067005357412], ""type"": ""Point""}";__FIYO4U;17070355;013273795;CAMBIE ST;49.25067005357412, -123.11581669319749
554;South Cambie;"{""coordinates"": [-123.11587358489581, 49.25211011414478], ""type"": ""Point""}";__FIYO4W;70216804;011233290;W 21ST AV;49.25211011414478, -123.11587358489581
3707;South Cambie;"{""coordinates"": [-123.11560908070537, 49.25205912433577], ""type"": ""Point""}";__FIYO4Y;17070205;013275836;CAMBIE ST;49.25205912433577, -123.11560908070537
3777;South Cambie;"{""coordinates"": [-123.11589441553939, 49.25156948923433], ""type"": ""Point""}";__FIYO56;17070295;013275941;CAMBIE ST;49.25156948923433, -123.11589441553939
3637;South Cambie;"{""coordinates"": [-123.11572007731725, 49.2527970533434], ""type"": ""Point""}";__FIYO5E;17069707;013275623;CAMBIE ST;49.2527970533434, -123.11572007731725
3637;South Cambie;"{""coordinates"": [-123.11572377497656, 49.252621193021184], ""type"": ""Point""}";__FIYO5I;17069707;013275640;CAMBIE ST;49.252621193021184, -123.11572377497656
3637;South Cambie;"{""coordinates"": [-123.1155818590265, 49.25246527694708], ""type"": ""Point""}";__FIYO5M;17069707;013275674;CAMBIE ST;49.25246527694708, -123.1155818590265
3519;South Cambie;"{""coordinates"": [-123.11580926016465, 49.2539600282499], ""type"": ""Point""}";__FIYO5O;17069405;013785133;CAMBIE ST;49.2539600282499, -123.11580926016465
3519;South Cambie;"{""coordinates"": [-123.11567856149745, 49.253836942639815], ""type"": ""Point""}";__FIYO5S;17069405;013785150;CAMBIE ST;49.253836942639815, -123.11567856149745
3519;South Cambie;"{""coordinates"": [-123.11556751204824, 49.25365400101005], ""type"": ""Point""}";__FIYO5W;17069405;013785184;CAMBIE ST;49.25365400101005, -123.11556751204824
3585;South Cambie;"{""coordinates"": [-123.11569146458557, 49.25347801136813], ""type"": ""Point""}";__FIYO60;17069495;013785222;CAMBIE ST;49.25347801136813, -123.11569146458557
3500;South Cambie;"{""coordinates"": [-123.11799427534515, 49.25397936993208], ""type"": ""Point""}";__FIYO66;69416506;014826305;ASH ST;49.25397936993208, -123.11799427534515
592;South Cambie;"{""coordinates"": [-123.11768383904732, 49.25397698799348], ""type"": ""Point""}";__FIYO6A;69416528;014826330;W 19TH AV;49.25397698799348, -123.11768383904732
580;South Cambie;"{""coordinates"": [-123.1172729430297, 49.25397202665953], ""type"": ""Point""}";__FIYO6G;69416546;014826372;W 19TH AV;49.25397202665953, -123.1172729430297
572;South Cambie;"{""coordinates"": [-123.11699190918993, 49.25396736420783], ""type"": ""Point""}";__FIYO6K;69416558;008932841;W 19TH AV;49.25396736420783, -123.11699190918993
560;South Cambie;"{""coordinates"": [-123.11645650313086, 49.25395892789496], ""type"": ""Point""}";__FIYO6S;69416582;014826411;W 19TH AV;49.25395892789496, -123.11645650313086
557;South Cambie;"{""coordinates"": [-123.11632501966537, 49.253561021786254], ""type"": ""Point""}";__FIYO6W;69716585;014826496;W 20TH AV;49.253561021786254, -123.11632501966537
575;South Cambie;"{""coordinates"": [-123.11716399591347, 49.253576797193816], ""type"": ""Point""}";__FIYO78;69716549;014826674;W 20TH AV;49.253576797193816, -123.11716399591347
579;South Cambie;"{""coordinates"": [-123.11729386555675, 49.25358071326947], ""type"": ""Point""}";__FIYO7A;69716543;014826691;W 20TH AV;49.25358071326947, -123.11729386555675
593;South Cambie;"{""coordinates"": [-123.1178560684689, 49.25359091741361], ""type"": ""Point""}";__FIYO7I;69716519;008682526;W 20TH AV;49.25359091741361, -123.1178560684689
3505;South Cambie;"{""coordinates"": [-123.11854385779101, 49.25388209071938], ""type"": ""Point""}";__FIYO7U;16569443;011303468;ASH ST;49.25388209071938, -123.11854385779101
601;South Cambie;"{""coordinates"": [-123.11856614293299, 49.251803280723806], ""type"": ""Point""}";__FIYO80;70316395;015256871;W 22ND AV;49.251803280723806, -123.11856614293299
618;South Cambie;"{""coordinates"": [-123.11865905369994, 49.25310702506377], ""type"": ""Point""}";__FIYO84;69716384;013984144;W 20TH AV;49.25310702506377, -123.11865905369994
615;South Cambie;"{""coordinates"": [-123.11871919160356, 49.25089686355994], ""type"": ""Point""}";__FIYO8E;70616387;008254362;W 23RD AV;49.25089686355994, -123.11871919160356
584;South Cambie;"{""coordinates"": [-123.11747336282735, 49.252168280844685], ""type"": ""Point""}";__FIYO8M;70216540;014033976;W 21ST AV;49.252168280844685, -123.11747336282735
568;South Cambie;"{""coordinates"": [-123.11691887664797, 49.252160315837024], ""type"": ""Point""}";__FIYO8U;70216564;014034000;W 21ST AV;49.252160315837024, -123.11691887664797
560;South Cambie;"{""coordinates"": [-123.11651953219285, 49.25215263257275], ""type"": ""Point""}";__FIYO8Y;70216582;013237659;W 21ST AV;49.25215263257275, -123.11651953219285
557;South Cambie;"{""coordinates"": [-123.11638734591851, 49.25175788444384], ""type"": ""Point""}";__FIYO92;70316585;008240761;W 22ND AV;49.25175788444384, -123.11638734591851
571;South Cambie;"{""coordinates"": [-123.11707994248476, 49.25177200878275], ""type"": ""Point""}";__FIYO9C;70316555;014034239;W 22ND AV;49.25177200878275, -123.11707994248476
579;South Cambie;"{""coordinates"": [-123.11735890371892, 49.25177711389027], ""type"": ""Point""}";__FIYO9G;70316543;014034298;W 22ND AV;49.25177711389027, -123.11735890371892
587;South Cambie;"{""coordinates"": [-123.1176393765531, 49.25178221678509], ""type"": ""Point""}";__FIYO9K;70316531;003025772;W 22ND AV;49.25178221678509, -123.1176393765531
599;South Cambie;"{""coordinates"": [-123.11814080552028, 49.25179111413311], ""type"": ""Point""}";__FIYO9O;70316509;028452321;W 22ND AV;49.25179111413311, -123.11814080552028
555;South Cambie;"{""coordinates"": [-123.11624388357731, 49.251756679593775], ""type"": ""Point""}";__FIYO9Q;70316597;003461556;W 22ND AV;49.251756679593775, -123.11624388357731
596;South Cambie;"{""coordinates"": [-123.11800987833433, 49.25128394421433], ""type"": ""Point""}";__FIYO9W;70316514;005251842;W 22ND AV;49.25128394421433, -123.11800987833433
576;South Cambie;"{""coordinates"": [-123.11731592277152, 49.251273433916225], ""type"": ""Point""}";__FIYOA4;70316554;014799162;W 22ND AV;49.251273433916225, -123.11731592277152
572;South Cambie;"{""coordinates"": [-123.11718744181248, 49.25127311454708], ""type"": ""Point""}";__FIYOA6;70316562;014799189;W 22ND AV;49.25127311454708, -123.11718744181248
3855;South Cambie;"{""coordinates"": [-123.11656418055848, 49.25100390626383], ""type"": ""Point""}";__FIYOAI;16870349;010472851;TUPPER ST;49.25100390626383, -123.11656418055848
3879;South Cambie;"{""coordinates"": [-123.116567196516, 49.25083164463734], ""type"": ""Point""}";__FIYOAM;16870383;014799316;TUPPER ST;49.25083164463734, -123.116567196516
3885;South Cambie;"{""coordinates"": [-123.11656834296834, 49.25073495379088], ""type"": ""Point""}";__FIYOAO;16870397;014799341;TUPPER ST;49.25073495379088, -123.11656834296834
591;South Cambie;"{""coordinates"": [-123.11790240463465, 49.25088422513716], ""type"": ""Point""}";__FIYOB4;70616523;002946734;W 23RD AV;49.25088422513716, -123.11790240463465
3907;South Cambie;"{""coordinates"": [-123.11658118913577, 49.25036658628844], ""type"": ""Point""}";__FIYOBC;16870663;014773171;TUPPER ST;49.25036658628844, -123.11658118913577
570;South Cambie;"{""coordinates"": [-123.11734796287506, 49.25032081588375], ""type"": ""Point""}";__FIYOBO;70616554;007093667;W 23RD AV;49.25032081588375, -123.11734796287506
578;South Cambie;"{""coordinates"": [-123.11756597295218, 49.25041189579832], ""type"": ""Point""}";__FIYOBQ;70616544;006974554;W 23RD AV;49.25041189579832, -123.11756597295218
579;South Cambie;"{""coordinates"": [-123.11756069266526, 49.250213556409676], ""type"": ""Point""}";__FIYOBW;70716547;014773228;W 24TH AV;49.250213556409676, -123.11756069266526
609;South Cambie;"{""coordinates"": [-123.11866620489344, 49.25023712709467], ""type"": ""Point""}";__FIYOC6;70716395;014774011;W 24TH AV;49.25023712709467, -123.11866620489344
500;South Cambie;"{""coordinates"": [-123.11713896528174, 49.252882850138185], ""type"": ""Point""}";__FIYOCC;69716504;015492079;W 20TH AV;49.252882850138185, -123.11713896528174
3050;Mount Pleasant;"{""coordinates"": [-123.10477356371479, 49.257689114305734], ""type"": ""Point""}";__FIYOCE;18468494;BCS930;ONTARIO ST;49.257689114305734, -123.10477356371479
3030;Mount Pleasant;"{""coordinates"": [-123.10477426546883, 49.257949219305544], ""type"": ""Point""}";__FIYOCK;18468436;015524051;ONTARIO ST;49.257949219305544, -123.10477426546883
145;Mount Pleasant;"{""coordinates"": [-123.1021336894521, 49.25776271119635], ""type"": ""Point""}";__FIYOCQ;68718651;010008802;E 15TH AV;49.25776271119635, -123.1021336894521
105;Mount Pleasant;"{""coordinates"": [-123.10296244375817, 49.25778085656949], ""type"": ""Point""}";__FIYOCY;68718607;BCS2864;E 15TH AV;49.25778085656949, -123.10296244375817
3011;Mount Pleasant;"{""coordinates"": [-123.10155486251887, 49.2582386185131], ""type"": ""Point""}";__FIYOD0;19068401;010008641;MAIN ST;49.2582386185131, -123.10155486251887
3011;Mount Pleasant;"{""coordinates"": [-123.10156533566962, 49.257991240911544], ""type"": ""Point""}";__FIYOD2;19068401;010008756;MAIN ST;49.257991240911544, -123.10156533566962
96;Riley Park;"{""coordinates"": [-123.10307844709538, 49.254407897345985], ""type"": ""Point""}";__FIYODW;69318596;012146668;E 18TH AV;49.254407897345985, -123.10307844709538
136;Riley Park;"{""coordinates"": [-123.10220227994917, 49.25435444354262], ""type"": ""Point""}";__FIYOE2;69318736;005047170;E 18TH AV;49.25435444354262, -123.10220227994917
156;Riley Park;"{""coordinates"": [-123.10193361221896, 49.25434929275676], ""type"": ""Point""}";__FIYOE4;69318756;014002868;E 18TH AV;49.25434929275676, -123.10193361221896
3460;Riley Park;"{""coordinates"": [-123.10254460968426, 49.254096427143104], ""type"": ""Point""}";__FIYOEC;18769360;015161587;QUEBEC ST;49.254096427143104, -123.10254460968426
3335;Riley Park;"{""coordinates"": [-123.1036884543243, 49.255305218333376], ""type"": ""Point""}";__FIYOEK;18669135;009805192;QUEBEC ST;49.255305218333376, -123.1036884543243
60;Riley Park;"{""coordinates"": [-123.10419039116128, 49.2554678410962], ""type"": ""Point""}";__FIYOEW;69118460;014963779;E 17TH AV;49.2554678410962, -123.10419039116128
3342;Riley Park;"{""coordinates"": [-123.10459675259887, 49.25527263748461], ""type"": ""Point""}";__FIYOF0;18469142;014603608;ONTARIO ST;49.25527263748461, -123.10459675259887
3368;Riley Park;"{""coordinates"": [-123.10458949965751, 49.255091939094264], ""type"": ""Point""}";__FIYOF4;18469162;010003282;ONTARIO ST;49.255091939094264, -123.10458949965751
35;Riley Park;"{""coordinates"": [-123.10461516019971, 49.254892132039316], ""type"": ""Point""}";__FIYOFA;69318435;014603632;E 18TH AV;49.254892132039316, -123.10461516019971
3209;Riley Park;"{""coordinates"": [-123.10353213126528, 49.256439907373014], ""type"": ""Point""}";__FIYOG0;18669009;010686878;QUEBEC ST;49.256439907373014, -123.10353213126528
95;Riley Park;"{""coordinates"": [-123.10349417214785, 49.25597228902223], ""type"": ""Point""}";__FIYOG4;69118595;010853821;E 17TH AV;49.25597228902223, -123.10349417214785
3276;Riley Park;"{""coordinates"": [-123.10468347618287, 49.25598550195914], ""type"": ""Point""}";__FIYOG8;18469076;013596322;ONTARIO ST;49.25598550195914, -123.10468347618287
50;Riley Park;"{""coordinates"": [-123.10430707619949, 49.2563737161694], ""type"": ""Point""}";__FIYOGC;69018450;015159116;E 16TH AV;49.2563737161694, -123.10430707619949
77;Riley Park;"{""coordinates"": [-123.10363888060657, 49.255972249257695], ""type"": ""Point""}";__FIYOGM;69118565;007187874;E 17TH AV;49.255972249257695, -123.10363888060657
71;Riley Park;"{""coordinates"": [-123.1037804328215, 49.255974370999326], ""type"": ""Point""}";__FIYOGO;69118535;015159191;E 17TH AV;49.255974370999326, -123.1037804328215
33;Riley Park;"{""coordinates"": [-123.10420507577604, 49.255980726200804], ""type"": ""Point""}";__FIYOGU;69118433;015159213;E 17TH AV;49.255980726200804, -123.10420507577604
7;Riley Park;"{""coordinates"": [-123.10448819403607, 49.25598495911556], ""type"": ""Point""}";__FIYOGY;69118417;015159248;E 17TH AV;49.25598495911556, -123.10448819403607
116;Riley Park;"{""coordinates"": [-123.10284831573024, 49.256455090368384], ""type"": ""Point""}";__FIYOH2;18669006;015255344;E 16TH AV;49.256455090368384, -123.10284831573024
3223;Riley Park;"{""coordinates"": [-123.10173362114234, 49.25630704451499], ""type"": ""Point""}";__FIYOHK;19068927;015255239;MAIN ST;49.25630704451499, -123.10173362114234
210;Riley Park;"{""coordinates"": [-123.10052349930164, 49.2563254015341], ""type"": ""Point""}";__FIYOHM;68919104;003624021;E 16TH AV;49.2563254015341, -123.10052349930164
3250;Riley Park;"{""coordinates"": [-123.10090742537743, 49.256176636777205], ""type"": ""Point""}";__FIYOHU;19068950;015162613;MAIN ST;49.256176636777205, -123.10090742537743
210;Mount Pleasant;"{""coordinates"": [-123.10046366065873, 49.257231073981075], ""type"": ""Point""}";__FIYOIM;68719106;011252031;E 15TH AV;49.257231073981075, -123.10046366065873
66;Mount Pleasant;"{""coordinates"": [-123.10383486753956, 49.25727184613387], ""type"": ""Point""}";__FIYOJ6;68718466;015240690;E 15TH AV;49.25727184613387, -123.10383486753956
3115;Mount Pleasant;"{""coordinates"": [-123.10342997573169, 49.25726546289562], ""type"": ""Point""}";__FIYOJC;68718494;014322226;QUEBEC ST;49.25726546289562, -123.10342997573169
45;Mount Pleasant;"{""coordinates"": [-123.10414310548065, 49.25688612369396], ""type"": ""Point""}";__FIYOJK;69018455;004565321;E 16TH AV;49.25688612369396, -123.10414310548065
35;Mount Pleasant;"{""coordinates"": [-123.10470123143045, 49.25689506423594], ""type"": ""Point""}";__FIYOJS;69018431;015240738;E 16TH AV;49.25689506423594, -123.10470123143045
3120;Mount Pleasant;"{""coordinates"": [-123.1048784140755, 49.257172675810615], ""type"": ""Point""}";__FIYOJY;18468746;015240584;ONTARIO ST;49.257172675810615, -123.1048784140755
66;Mount Pleasant;"{""coordinates"": [-123.1039842343993, 49.25727633533975], ""type"": ""Point""}";__FIYOK4;68718466;015240681;E 15TH AV;49.25727633533975, -123.1039842343993
3477;Riley Park;"{""coordinates"": [-123.10315088980202, 49.25403595228374], ""type"": ""Point""}";__FIYOK6;18769377;015168263;QUEBEC ST;49.25403595228374, -123.10315088980202
126;Riley Park;"{""coordinates"": [-123.1023335218879, 49.25435702593754], ""type"": ""Point""}";__FIYOKA;69318726;015161366;E 18TH AV;49.25435702593754, -123.1023335218879
176;Riley Park;"{""coordinates"": [-123.10162029945683, 49.2543455209107], ""type"": ""Point""}";__FIYOKG;69318776;015161412;E 18TH AV;49.2543455209107, -123.10162029945683
3030;Mount Pleasant;"{""coordinates"": [-123.10080698108358, 49.25810660304891], ""type"": ""Point""}";__FIYOKK;19068434;007199937;MAIN ST;49.25810660304891, -123.10080698108358
180;Riley Park;"{""coordinates"": [-123.10215284031442, 49.2552222291162], ""type"": ""Point""}";__FIYOKU;69118686;008032700;E 17TH AV;49.2552222291162, -123.10215284031442
3245;Riley Park;"{""coordinates"": [-123.10169215541562, 49.2561912226207], ""type"": ""Point""}";__FIYOKW;19068947;009426779;MAIN ST;49.2561912226207, -123.10169215541562
3255;Riley Park;"{""coordinates"": [-123.10169808731493, 49.2560684416759], ""type"": ""Point""}";__FIYOKY;19068971;015255352;MAIN ST;49.2560684416759, -123.10169808731493
3206;Riley Park;"{""coordinates"": [-123.10088646734756, 49.25640558335757], ""type"": ""Point""}";__FIYOL2;19068906;015162583;MAIN ST;49.25640558335757, -123.10088646734756
3238;Riley Park;"{""coordinates"": [-123.10090216397263, 49.256285483501635], ""type"": ""Point""}";__FIYOL4;19068940;015162591;MAIN ST;49.256285483501635, -123.10090216397263
3104;Mount Pleasant;"{""coordinates"": [-123.10489269841509, 49.257292020362875], ""type"": ""Point""}";__FIYOL8;18468726;007683944;ONTARIO ST;49.257292020362875, -123.10489269841509
199;Riley Park;"{""coordinates"": [-123.10170110910052, 49.25587370154719], ""type"": ""Point""}";__FIYOLI;19068993;009798439;E 17TH AV;49.25587370154719, -123.10170110910052
43;Mount Pleasant;"{""coordinates"": [-123.10408884607567, 49.2577996277481], ""type"": ""Point""}";__FIYOLW;68718457;015522881;E 15TH AV;49.2577996277481, -123.10408884607567
3425;Riley Park;"{""coordinates"": [-123.10116081760266, 49.25437111075684], ""type"": ""Point""}";__FIYOM0;19069205;;MAIN ST;49.25437111075684, -123.10116081760266
196;Riley Park;"{""coordinates"": [-123.10957230859397, 49.2544852348625], ""type"": ""Point""}";__FIYOM4;69317904;013868284;W 18TH AV;49.2544852348625, -123.10957230859397
186;Riley Park;"{""coordinates"": [-123.10927560658801, 49.25448056849952], ""type"": ""Point""}";__FIYOM8;69317918;013868322;W 18TH AV;49.25448056849952, -123.10927560658801
180;Riley Park;"{""coordinates"": [-123.10913611972916, 49.25447845153994], ""type"": ""Point""}";__FIYOMA;69317922;013868349;W 18TH AV;49.25447845153994, -123.10913611972916
172;Riley Park;"{""coordinates"": [-123.10900006542548, 49.25447498189057], ""type"": ""Point""}";__FIYOMC;69317928;013868357;W 18TH AV;49.25447498189057, -123.10900006542548
160;Riley Park;"{""coordinates"": [-123.10872246499117, 49.254470296084364], ""type"": ""Point""}";__FIYOME;69317940;013868403;W 18TH AV;49.254470296084364, -123.10872246499117
154;Riley Park;"{""coordinates"": [-123.10858160397821, 49.25446817974845], ""type"": ""Point""}";__FIYOMG;69317944;013868420;W 18TH AV;49.25446817974845, -123.10858160397821
108;Riley Park;"{""coordinates"": [-123.10762154484593, 49.25445110558734], ""type"": ""Point""}";__FIYOMS;69317986;013868501;W 18TH AV;49.25445110558734, -123.10762154484593
107;Riley Park;"{""coordinates"": [-123.10764337030525, 49.254066998327474], ""type"": ""Point""}";__FIYOMY;69417987;008768595;W 19TH AV;49.254066998327474, -123.10764337030525
115;Riley Park;"{""coordinates"": [-123.10778216395035, 49.25406686893058], ""type"": ""Point""}";__FIYON0;69417979;006685226;W 19TH AV;49.25406686893058, -123.10778216395035
121;Riley Park;"{""coordinates"": [-123.10792096541884, 49.25407032845283], ""type"": ""Point""}";__FIYON2;69417973;013868527;W 19TH AV;49.25407032845283, -123.10792096541884
133;Riley Park;"{""coordinates"": [-123.1082021433251, 49.25407816116155], ""type"": ""Point""}";__FIYON4;69417963;004628969;W 19TH AV;49.25407816116155, -123.1082021433251
139;Riley Park;"{""coordinates"": [-123.10834368440416, 49.25407757875597], ""type"": ""Point""}";__FIYON6;69417957;013868578;W 19TH AV;49.25407757875597, -123.10834368440416
